Open,High,Low,Close,Adj Close
81000,84400,80200,83000,78701.07031
81600,83900,81600,83900,79554.44531
83300,84500,82100,82200,77942.48438
82800,84200,82700,82900,78606.23438
83300,90000,83000,88800,84200.65625
90000,96800,89500,91000,86286.69531
90300,91400,87800,90600,85907.42188
89800,91200,89100,89700,85054.03125
88700,90000,88700,89700,85054.03125
89800,91800,88000,88000,83442.08594
86600,87300,84100,85000,80597.47656
84500,88000,83600,87000,82493.89063
89000,89000,86500,87200,82683.52344
87500,88600,86500,88100,83536.91406
89000,89700,86800,86800,82304.22656
87000,89900,86300,89400,84769.5625
88800,89200,86500,86700,82209.42188
86600,87700,85600,85600,81166.39063
83200,85600,83200,83700,79364.80469
84500,85000,82000,82000,77752.85938
81700,83400,81000,83000,78701.07031
84100,86400,83700,84400,80028.54688
84800,85400,83400,84600,80218.17188
83500,83800,82100,82500,78226.96094
83100,84000,82500,83500,79175.15625
83800,84200,83000,83000,78701.07031
84000,84800,82700,82700,78416.58594
82600,82600,81600,81600,77373.5625
83800,84500,83300,84200,79838.90625
84500,86000,84200,84900,80502.64844
83900,84200,83000,83200,78890.70313
83200,83600,82100,82100,77847.67188
82300,82800,81000,82600,78321.77344
83800,84200,82200,82200,77942.48438
81200,82900,81100,82000,77752.85938
81800,83600,81300,82000,77752.85938
84000,85400,83000,85300,80881.92969
82800,83400,82000,82500,78226.96094
85100,85300,83000,83600,79269.97656
83500,84000,82800,84000,79649.27344
82600,83200,82200,82400,78132.14844
81100,82600,81100,82100,77847.67188
82900,83000,81600,82000,77752.85938
81400,81900,80600,81400,77183.9375
82400,82500,80700,80900,76709.82031
81000,82500,81000,82000,77752.85938
83100,83500,82400,82800,78511.41406
82800,82900,81800,81800,77563.21094
82200,83000,82100,82800,78511.41406
82800,82900,82000,82300,78037.3125
82800,83800,82600,82900,78606.23438
82100,82500,81800,81900,77658.03906
82000,82300,81700,82000,77752.85938
82600,82900,81800,81800,77563.21094
81000,81600,80700,81000,76804.64063
81000,82100,80800,81200,76994.28125
81400,81600,81000,81500,77278.74219
81700,81700,81000,81600,77373.5625
81600,82300,81300,82200,78288.83594
82400,82700,81400,81400,77526.91406
82500,83000,82000,82900,78955.53906
84000,85200,83900,84800,80765.14063
85800,86000,84800,85400,81336.59375
86200,86200,85100,86000,81908.03906
86100,86200,85400,85600,81527.07031
85700,85700,84100,84700,80669.89844
84700,84900,83400,83600,79622.23438
84100,84100,83100,83200,79241.27344
83000,84500,82800,84000,80003.20313
84000,84300,83400,84000,80003.20313
83700,84500,83400,84100,80098.4375
84700,84700,83600,83900,79907.96094
83800,84000,83300,83300,79336.5
83300,84000,83100,83900,79907.96094
83300,83500,82500,82600,78669.82031
82900,83000,82400,82400,78479.33594
81900,82900,81600,82800,78860.29688
82900,83500,82600,83500,79526.98438
83200,83300,82500,82900,78955.53906
83200,83200,82100,82100,78193.60156
82400,82500,81500,81700,77812.625
81900,82100,81500,81500,77622.14844
81000,82400,81000,81700,77812.625
81900,82600,81800,82600,78669.82031
81700,82300,81700,82300,78384.08594
81800,82100,81500,81900,78003.125
82300,83500,81800,83200,79241.27344
82500,82600,81100,81200,77336.42188
80800,81200,79800,80000,76193.52344
78900,79600,78400,78500,74764.89844
79000,80300,78900,80100,76288.76563
80800,80900,79200,79600,75812.55469
79600,80000,79100,79600,75812.55469
79400,79700,79100,79500,75717.3125
80100,81500,79800,80100,76288.76563
80100,80400,79500,79700,75907.78906
80000,80400,79800,79900,76098.28906
80400,80500,79700,79800,76003.03906
80000,80000,79100,79600,75812.55469
79800,80400,79400,80100,76288.76563
80300,80600,79600,80500,76669.72656
80500,81300,80100,80600,76764.97656
80400,81400,80300,80800,76955.46094
81300,83000,81100,82800,78860.29688
82700,82700,81500,82200,78288.83594
82700,82800,81600,81900,78003.125
82300,82600,81800,81900,78003.125
81500,82000,81100,81100,77241.17969
81300,81400,80900,81000,77145.9375
81200,81700,80700,81000,77145.9375
80800,80900,80500,80500,76669.72656
80900,81200,80600,80900,77050.69531
81500,81900,81100,81800,77907.875
81100,81300,80700,80900,77050.69531
81100,81100,80500,80500,76669.72656
79700,80000,79600,79900,76098.28906
80200,80300,79900,80000,76193.52344
80500,80600,79900,80100,76288.76563
80400,81400,80100,81200,77336.42188
81500,81900,81200,81600,77717.39063
81700,82000,81600,81900,78003.125
81900,82100,80800,81000,77487.48438
81100,81400,80700,80700,77200.50781
80500,80600,80000,80100,76626.52344
80000,80400,79900,80000,76530.85938
80100,80800,80000,80400,76913.51563
80600,81200,80500,81200,77678.82031
81200,81300,80300,80800,77296.16406
81100,81200,79900,79900,76435.19531
79600,79800,79000,79400,75956.875
79900,80000,79500,79700,76243.86719
80000,80200,79800,79800,76339.53906
79400,79600,79100,79500,76052.53906
79800,80600,79500,80600,77104.83594
80100,80100,79500,79800,76339.53906
79100,79200,78800,79000,75574.21875
78500,79000,78400,79000,75574.21875
79000,79100,78500,78500,75095.90625
79000,79800,78900,79700,76243.86719
79700,79900,79200,79300,75861.21094
79400,79500,78800,78800,75382.90625
79200,79400,78500,78500,75095.90625
78300,79200,78100,79200,75765.55469
78800,79400,78800,79000,75574.21875
78900,78900,78500,78500,75095.90625
79200,79500,78700,79300,75861.21094
79400,81400,79300,81400,77870.15625
82200,83100,81800,82900,79305.09375
83300,83300,82000,82100,78539.79688
81900,82500,81300,81500,77965.8125
81500,82300,80900,81500,77965.8125
82300,82400,80100,80200,76722.1875
79600,79800,78500,78500,75095.90625
77100,78200,76900,77000,73660.95313
75800,76000,74100,74400,71173.70313
74000,75100,74000,74200,70982.36719
73900,74600,73100,73900,70695.38281
73500,74400,73100,73100,69930.08594
73500,73900,72500,72700,69547.40625
73300,74000,73000,73300,70121.39063
73900,75700,73900,75600,72321.65625
76200,76600,74900,75700,72417.32813
76100,76200,74600,74600,71365.02344
74300,75000,73800,74300,71078.03125
75400,75500,74200,74600,71365.02344
74900,76700,74300,76700,73373.95313
76700,77100,75900,76800,73469.63281
76800,76800,75700,76000,72704.3125
76400,76700,76000,76600,73278.28906
76800,77600,76600,77300,73947.94531
77100,77100,75900,76100,72799.97656
76000,76400,75600,76300,72991.3125
76400,76600,75000,75300,72034.66406
75300,75600,74800,75300,72034.66406
75200,76300,75100,76300,72991.3125
77100,77700,76600,76600,73278.28906
77400,77400,76400,77000,73660.95313
77300,77400,76100,76100,72799.97656
76300,77200,75900,77200,73852.28125
77500,77600,76800,77400,74043.61719
77600,77700,77100,77300,73947.94531
77300,77700,77000,77700,74330.58594
77700,77800,76200,76300,72991.3125
74800,75300,73800,74100,71223.6875
74300,74800,73700,74100,71223.6875
73900,74000,72900,73200,70358.625
73000,73000,71400,72200,69397.44531
72600,72800,71200,71300,68532.375
71600,72100,71300,71600,68820.71875
72300,72400,71500,71500,68724.60938
70700,70900,68700,69000,66321.64844
68700,69600,68300,68800,66129.42188
69000,69800,68800,69400,66706.14063
70200,71000,70000,70100,67378.95313
70200,70300,69200,70200,67475.07031
70800,71000,70400,70600,67859.55469
70700,71000,70200,70300,67571.1875
70300,70600,70000,70200,67475.07031
70000,70700,70000,70400,67667.30469
69900,70600,69500,70200,67475.07031
70600,71500,70400,71100,68340.14844
71000,71000,70000,70100,67378.95313
69500,72200,69500,70700,67955.67188
71200,71600,69700,69800,67090.60156
70200,70600,69900,69900,67186.71875
70800,72200,70700,71500,68724.60938
71700,71700,70100,70400,67667.30469
71200,71600,70500,70600,67859.55469
71600,71600,70200,70200,67475.07031
70400,70600,69800,70600,67859.55469
70300,71000,70100,70500,67763.4375
70300,70900,70200,70200,67475.07031
69900,70000,69600,69900,67186.71875
70200,70900,69900,70600,67859.55469
71700,71900,70900,71400,68628.49219
71500,72000,71300,71300,68532.375
71300,71600,70600,70700,67955.67188
70700,71000,70200,70200,67475.07031
70400,71400,70100,71200,68436.25781
73300,75200,73000,74900,71992.63281
76000,76000,74500,75300,72377.10156
76000,76200,74100,74800,71896.51563
75100,75100,73600,73700,70839.21094
73500,74100,72000,72300,69493.5625
71700,73000,71400,72300,69493.5625
73200,73900,70500,71300,68532.375
72000,74800,71600,74400,71512.04688
73900,75800,73800,75800,72857.70313
75600,76000,74100,75600,72665.46094
75100,76700,74900,76300,73338.29688
76100,77700,75600,77400,74395.60156
78300,78600,77100,77400,74395.60156
77400,78200,77000,78200,75164.53906
77400,77600,76800,76900,73915
77200,78300,76500,76800,73818.89063
76500,77200,76200,77000,74011.125
76400,77600,76300,77600,74587.83594
78500,78500,77400,77800,74780.0625
76800,78000,76800,78000,74972.30469
77600,77800,76800,77100,74107.24219
77900,78300,77500,78100,75068.42188
78900,79400,78800,79400,76317.96094
79800,80000,79300,79900,76798.55469
80200,80800,80200,80500,77375.25781
80600,80600,79800,80200,77086.90625
80200,80400,79700,80300,77183.02344
80200,80200,78500,78800,76083.28125
78900,79500,78100,78300,75600.53906
78800,79200,78300,78700,75986.73438
78800,79000,76400,77400,74731.5625
76700,77600,76600,76900,74248.79688
78100,78400,77400,78300,75600.53906
78100,78100,77100,78000,75310.875
78400,79000,78000,78900,76179.83594
79500,79600,78600,78900,76179.83594
79300,79300,77900,77900,75214.32031
77700,78100,77100,77300,74635.00781
77600,77800,76900,77500,74828.11719
77600,77800,76600,77000,74345.34375
76500,76900,76100,76300,73669.47656
76200,76700,75900,76500,73862.58594
75800,75800,74700,75600,72993.625
75400,75800,74700,75100,72510.85156
74800,75000,73200,74000,71448.78125
74000,74000,74000,74000,71448.78125
73800,74000,71300,71300,68841.85156
71300,73700,71200,73300,70772.91406
74900,74900,73300,73300,70772.91406
74300,74600,73400,74000,71448.78125
73500,73600,72400,73000,70483.25781
73000,73000,73000,73000,70483.25781
73000,73000,73000,73000,70483.25781
75600,75800,74700,75400,72800.5
75000,75500,74600,74900,72317.75
74400,74500,73100,73700,71159.11719
74100,74200,73100,73700,71159.11719
74600,74900,74200,74800,72221.19531
75000,75600,74500,75000,72414.29688
74600,74800,73700,74300,71738.42969
74300,74300,74300,74300,71738.42969
74300,74300,74300,74300,71738.42969
74300,74300,74300,74300,71738.42969
72300,72300,71300,71500,69034.96875
72100,72600,71900,71900,69421.17188
71900,71900,71900,71900,69421.17188
72300,72400,71500,71700,69228.07031
72300,73100,72200,72900,70386.69531
72900,72900,72900,72900,70386.69531
70000,70600,69900,70100,67683.23438
68800,70000,68700,69500,67103.91406
69500,69500,69500,69500,67103.91406
70500,70700,69700,70000,67586.67969
70000,70200,69600,70200,67779.78125
70200,70200,70200,70200,67779.78125
70200,70500,69700,70400,67972.88281
70400,70400,70400,70400,67972.88281
70600,70900,70200,70700,68262.54688
70900,71000,69900,69900,67490.125
69900,70500,69900,70300,67876.34375
70600,71200,70300,70500,68069.45313
69600,70300,69600,69800,67393.57813
70100,70200,69600,69800,67393.57813
69500,69900,69200,69700,67297.01563
70000,70300,69800,70200,67779.78125
70300,70500,69800,69900,67838.98438
69900,70200,69600,69600,67547.83594
69500,69500,69000,69100,67062.57031
68900,69300,68600,69300,67256.67969
69400,69600,69100,69200,67159.625
68600,68800,68500,68500,66480.26563
68500,68500,68000,68000,65995.00781
68100,68300,67700,67800,65800.90625
67800,68100,67400,67900,65897.95313
67600,67700,67000,67000,65024.49609
67300,69000,67200,68700,66674.36719
68700,68700,67500,67500,65509.75
67200,67300,66500,66600,64636.28516
66500,67100,66100,66700,64733.33203
67100,68000,67000,67300,65315.65234
67000,67400,66500,67400,65412.69531
67600,68300,67500,67700,65703.85938
67200,67300,66700,67000,65024.49609
66500,66700,66300,66300,64345.13281
66400,66700,66100,66100,64151.03125
65400,65500,64900,65000,63083.46484
65400,65500,64500,64800,62889.36328
65100,67600,65000,67400,65412.69531
66600,67600,66500,67300,65315.65234
67400,68400,67300,67500,65509.75
68000,68400,67500,67900,65897.95313
67000,67100,66500,66500,64539.24219
65900,66300,65300,65700,63762.82031
65500,66300,65200,65700,63762.82031
65200,65500,64900,64900,62986.41016
65300,66700,65200,66500,64539.24219
67100,67400,66100,66300,64345.13281
66600,67900,66600,67600,65606.80469
68300,68700,67600,68100,66092.05469
66500,67600,66500,67500,65509.75
67800,68400,67700,68000,65995.00781
68800,68800,67600,67900,65897.95313
67500,67700,66500,66500,64539.24219
66700,67100,65900,66400,64442.18359
66300,67200,65500,65900,63956.92578
66700,66900,66200,66500,64539.24219
67500,67800,66900,67700,65703.85938
67500,67500,66700,67400,65412.69531
66600,67000,66400,66700,64733.33203
67200,67300,66800,66800,64830.39063
66200,66400,65400,65500,63568.72266
65400,65700,65300,65300,63374.62109
65100,65200,64500,65200,63277.56641
64000,64400,63800,63800,61918.85156
62400,62800,62100,62100,60268.96875
61200,62200,61100,61900,60074.86719
61300,61500,60200,60700,58910.25
61300,61800,60500,60900,59104.35547
59400,59900,59400,59800,58036.78516
59800,59900,58100,58700,56969.22266
58700,59200,58200,58500,56775.12109
59000,59100,57600,57600,55901.65625
57700,58000,56800,57400,55707.55078
57900,59100,57700,58400,56678.06641
59000,59900,58300,58800,57066.26953
59200,59500,58700,59400,57648.58203
58500,58800,58000,58000,56634.05469
57200,57600,57000,57000,55657.60547
56900,57500,55900,56200,54876.44531
56100,57400,55700,57100,55755.24609
57600,58200,57200,57200,55852.89453
57300,57300,56400,56400,55071.73438
56400,58700,56300,58200,56829.33984
58600,59300,58200,58700,57317.57031
59300,59600,58700,58800,57415.20703
58600,58700,58100,58100,56731.69531
58300,58600,58000,58000,56634.05469
57500,58200,57400,57500,56145.82813
58400,60000,58100,60000,58586.95313
60600,62000,60500,61900,60442.20313
61400,61500,60200,60900,59465.75391
61800,62100,60500,60500,59075.17188
61100,61900,60700,61800,60344.5625
61800,62200,61200,61300,59856.33594
60900,61900,60800,61100,59661.04297
60800,61900,60800,61700,60246.91406
61300,61900,61200,61800,60344.5625
62300,62600,61600,61900,60442.20313
62400,62600,61300,61400,59953.98047
61000,61700,60300,61300,59856.33594
61200,61900,61000,61700,60246.91406
61600,61600,61000,61300,59856.33594
61700,61800,61200,61500,60051.62109
61700,61900,61200,61500,60051.62109
61400,61400,60600,60800,59368.10938
60600,60700,59600,60000,58586.95313
58900,59200,58600,59100,57708.14453
59600,60000,59300,59900,58489.30469
59500,60700,59400,60200,58782.23828
60500,61600,60300,61000,59563.40234
61100,61200,60300,60400,58977.53125
60300,61900,60000,61500,60051.62109
61400,61600,60600,60900,59465.75391
60300,60400,59800,60000,58586.95313
59000,59600,59000,59100,57708.14453
59200,59500,59000,59000,57610.50391
59200,59700,59000,59700,58294.01953
60300,60900,59900,60000,58586.95313
58700,58900,58600,58600,57219.92188
58700,59000,58300,58800,57415.20703
58200,59900,58200,59700,58294.01953
58700,58900,58300,58400,57024.62891
58300,58600,57500,57500,56145.82813
57400,57800,56800,57100,55755.24609
57200,57600,56900,57100,55755.24609
56700,56700,55900,56000,54681.15234
56200,56400,55600,55600,54290.57031
57000,58500,56800,58100,56731.69531
56200,57200,56100,56800,55462.3125
57000,57100,56000,56000,54681.15234
55600,56400,55500,56200,54876.44531
56300,57000,56000,56400,55071.73438
56400,57000,55800,55800,54485.86328
55400,55500,55000,55300,53997.63672
54600,54700,54300,54400,53118.83594
54400,54900,54200,54500,53216.48047
53700,54200,53600,53900,52630.60938
53800,54200,53500,54200,52923.54688
53900,54400,52500,52900,51654.16016
53300,53700,52600,52600,51714.13281
52300,53600,51800,53100,52205.71094
55300,55400,54500,55200,54270.34766
56900,57200,55400,56000,55056.87109
56700,57300,56300,56300,55351.82031
55900,56900,55200,56200,55253.50391
54400,55700,54000,55400,54466.97656
55700,57000,55200,55800,54860.24219
55400,56100,55200,55200,54270.34766
56200,56500,55800,56300,55351.82031
55800,57000,55700,56600,55646.76953
56700,57100,55800,56500,55548.45313
56700,56900,55700,55800,54860.24219
55200,56000,55100,55500,54565.29297
55100,56300,55100,55900,54958.55469
57000,57500,56700,57500,56531.61328
57000,58600,57000,57700,56728.24219
58000,59600,57700,59400,58399.61328
59700,60100,58900,59500,58497.92578
58900,59200,57200,57300,56334.97656
58100,59900,58000,59400,58399.61328
59900,60300,59500,60000,58989.50391
59700,60000,59300,59600,58596.24219
58600,59800,58100,59200,58202.98047
59100,59500,58400,59400,58399.61328
59700,60300,59400,60200,59186.14063
60500,61900,60500,61800,60759.19141
62000,62200,61300,62000,60955.82422
61400,61500,60400,60400,59382.76953
63100,63200,62300,62900,61840.66406
62900,62900,61700,61900,60857.50781
62200,62500,61600,62400,61349.08594
62400,62700,61700,62700,61644.03516
62000,62000,61300,61400,60365.92578
61800,62400,61400,61800,60759.19141
61400,61800,60800,61400,60365.92578
60900,61200,60300,60600,59579.39844
61200,61300,60700,61000,59972.66797
61200,61700,60900,61400,60365.92578
61400,61700,60800,61000,59972.66797
60500,60500,59800,60100,59087.82031
59900,60600,59800,60600,59579.39844
60400,62200,60200,62200,61152.45313
63100,63200,62300,62600,61545.71484
62500,62500,60400,60400,59382.76953
60900,61100,60000,60300,59284.45313
59800,60100,59200,59200,58202.98047
58800,59600,58500,58900,57908.03125
58700,59200,58600,59200,58202.98047
59300,60600,59300,60400,59382.76953
59900,60000,59400,59500,58497.92578
59600,60300,59400,59700,58694.5625
59800,60600,59800,60500,59481.08984
59800,60200,59300,59300,58301.29297
58300,59500,58300,59500,58497.92578
59500,59900,59100,59500,58497.92578
59000,59100,58500,58600,57613.08594
58700,59100,58000,58000,57023.19141
58100,59100,58100,59100,58104.66406
58200,58400,57700,58100,57121.50391
58000,58100,57700,57900,56924.875
58000,58400,57900,58100,57121.50391
57600,57600,56400,56600,55994.6875
56000,56200,55300,55300,54708.58984
55500,56100,55200,55500,54906.44922
55400,56000,54500,55400,54807.51953
55700,58000,55600,57800,57181.85156
58200,58800,57600,58200,57577.57422
58300,59400,57900,59000,58369.01953
59700,60700,59600,60700,60050.83984
60200,61100,59900,60400,59754.04688
61000,61200,60300,60500,59852.98047
61100,61200,59900,60500,59852.98047
60500,61200,60400,60800,60149.76953
61300,61600,60800,61100,60446.55859
61200,61500,60600,61000,60347.63281
60700,61000,59900,60400,59754.04688
60500,61500,60400,61500,60842.28516
62100,62300,61100,61800,61139.07422
63500,63700,63000,63300,62623.03516
63800,63900,63300,63800,63117.6875
64400,65000,63900,64600,63909.13281
64900,64900,63100,63300,62623.03516
63500,63700,61000,61400,60743.35156
62600,62700,61000,61000,60347.63281
63200,63900,62600,63500,62820.89453
63900,64000,63000,63500,62820.89453
62800,63000,61600,61600,60941.21094
61900,62500,61600,62000,61336.9375
62800,63300,62400,63100,62425.17188
63000,63300,62300,63300,62623.03516
62600,63000,62400,62900,62227.30859
62900,63000,62300,62900,62227.30859
63600,63900,63200,63200,62524.10156
63900,63900,62000,62200,61534.79688
62500,63700,62400,63700,63018.75391
62900,63300,62400,62600,61930.51563
62900,63000,61800,62700,62029.44922
62700,62800,62000,62100,61435.86328
61500,61800,61000,61100,60446.55859
61700,62500,61500,62000,61336.9375
62300,62600,61300,61300,60644.42188
60800,60800,60200,60500,59852.98047
60800,61400,60500,60600,59951.90625
60900,61800,60500,60800,60149.76953
61000,61200,60500,60500,59852.98047
61100,61600,60800,61500,60842.28516
61400,61400,60700,60700,60050.83984
60100,60500,59900,60300,59655.11719
60500,60800,59900,60100,59457.25391
59500,59700,59100,59500,58863.67188
59900,60200,59300,60000,59358.32422
59400,59500,59000,59000,58369.01953
60000,60300,59600,59800,59160.46484
59200,60200,59100,59900,59259.39453
60800,61300,60600,61300,60644.42188
61100,61200,60200,60200,59556.1875
60500,60700,60100,60300,59655.11719
61000,61200,60500,61100,60446.55859
60600,62300,60600,62300,61633.73047
62700,63300,62300,63000,62326.24219
62600,62800,62000,62100,61435.86328
62400,62900,62100,62900,62227.30859
62500,62700,62200,62700,62029.44922
63700,63700,63100,63200,62886.17578
64000,64000,63700,64000,63682.20313
64000,64000,63000,63100,62786.67188
63400,63800,62800,63600,63284.1875
63700,64000,63400,63900,63582.69922
63500,63600,62300,62300,61990.64453
63800,65200,63800,65000,64677.23438
64800,66300,64700,65700,65373.76172
66200,66200,65400,65900,65572.76563
65800,66200,65300,66000,65672.27344
65600,66100,65400,66100,65771.77344
66600,66600,65000,65100,64776.73828
65000,65600,64700,65300,64975.74609
65900,66000,64800,65600,65274.25781
65500,65800,65300,65500,65174.75391
65100,65300,64600,65300,64975.74609
65800,65900,65400,65700,65373.76172
65300,65700,64800,65200,64876.24219
65300,65400,63400,63600,63284.1875
63600,64300,63300,64100,63781.70313
64100,65000,63300,64600,64279.22266
65200,65900,65000,65500,65174.75391
66000,66300,65100,65700,65373.76172
65100,65600,64900,65400,65075.25
65600,65700,64700,65100,64776.73828
66300,66300,65400,65900,65572.76563
65800,65800,65100,65300,64975.74609
65500,65500,64300,64600,64279.22266
64700,65100,64200,64200,63881.20703
63700,64600,63600,64100,63781.70313
64100,64600,63900,64500,64179.71875
65800,65900,65300,65400,65075.25
65900,65900,64800,65000,64677.23438
66000,66200,65700,66200,65871.27344
67800,68400,67500,68400,68060.35156
68400,69000,68000,68500,68159.85938
68500,68700,68100,68400,68060.35156
68100,68700,68000,68500,68159.85938
69900,70000,68700,68800,68458.36719
69800,70400,69500,70300,69950.92188
71300,72300,71200,72300,71940.98438
72400,72500,71000,71400,71045.45313
70900,71600,70600,70900,70547.9375
71700,72200,71600,72200,71841.48438
72700,72700,71400,71700,71343.96875
71300,71600,70800,71000,70647.44531
70400,70900,70000,70900,70547.9375
71100,72300,70800,72000,71642.47656
72100,72400,70800,71000,70647.44531
71700,72200,71600,72000,71642.47656
72100,72200,71100,71900,71542.97656
72100,72300,71300,71500,71144.96094
71800,71900,70900,71800,71443.46875
71300,71700,70900,71200,70846.44531
70700,71400,70400,71400,71045.45313
70700,71200,70400,70500,70149.92188
70200,71500,70100,71300,70945.95313
72000,72200,71600,71600,71244.46094
71700,72500,71500,72400,72040.49219
72500,72600,72000,72600,72239.5
72600,72700,72000,72700,72339
73100,73400,72400,72400,72400
72500,72700,71700,72200,72200
72700,73200,72600,73000,73000
73400,73600,72900,73000,73000
73000,73300,71900,72000,72000
71900,72400,71500,71600,71600
71100,71400,69800,69900,69900
70000,70400,69200,69500,69500
70200,71500,70100,71500,71500
71200,72000,71100,71900,71900
72400,72600,71900,71900,71900
72500,73400,72400,73400,73400
73200,73500,72800,73300,73300
73200,73500,72000,72000,72000
72700,72800,71300,71700,71700
71100,71500,70800,71000,71000
70400,70400,69400,70300,70300
70100,70900,69900,70400,70400
70000,70500,69800,70000,70000
69800,70600,68100,69800,69800
69900,71700,69300,71700,71700
71800,72400,70100,70600,70600
70900,71000,69800,69800,69800
70100,71200,70000,71100,71100
70700,71000,69800,69900,69900
69900,70200,68500,68800,68800
68800,69100,68200,68300,68300
67700,69200,67600,68500,68500
69000,69100,67400,67600,67600
68000,69600,67900,68900,68900
68300,68500,67800,68000,68000
68400,68800,67500,67500,67500
67500,67900,66900,67300,67300
66700,67100,66300,67000,67000
66300,66800,66000,66700,66700
66000,66700,65800,66300,66300
66600,67100,66300,66600,66600
67200,67700,66300,66600,66600
66700,67100,66400,67100,67100
68300,68700,67900,68200,68200
67100,67400,66900,67100,67100
66800,67000,66500,66800,66800
66900,67200,66600,66800,66800
67300,67700,67100,67100,67100
67100,67200,66400,66900,66900
66800,71000,66700,71000,71000
72900,72900,70700,71200,71200
70900,71500,70200,70700,70700
70700,70800,69700,70000,70000
70000,70600,69600,70400,70400
70200,70300,69600,70300,70300
70400,70800,70000,70800,70800
70800,71000,70400,70500,70500
71100,71600,70300,70900,70900
71200,71800,70800,71700,71700
71700,72300,71400,72000,72000
71300,71700,70200,70200,70200
70400,70800,69600,69800,69800
70000,70300,69500,69600,69600
69200,69800,68800,68900,68900
68300,68900,68300,68800,68800
68500,69700,68500,69400,69400
70000,70000,68400,68600,68600
68600,69100,68200,68400,68400
67400,67700,66700,67500,67500
67300,67400,66700,66700,66700
67100,67300,66000,66000,66000
66200,67600,66200,66400,66400
68600,69400,67900,68200,68200
68600,69700,68200,68900,68900
68000,68500,67700,68000,68000
67900,68500,66800,67300,67300
67700,69900,67400,69400,69400
68900,70500,68800,70500,70500
69700,70000,69400,69500,69500
68900,69200,68100,68800,68800
68700,69100,68200,68400,68400
68700,68800,67700,68500,68500
68800,68800,67900,68000,68000
67000,67900,66700,66700,66700
67100,67300,66700,67300,67300
66800,67800,66700,67300,67300
67600,68300,66900,66900,66900
67500,68900,67300,68600,68600
70000,70000,69400,69700,69700
69700,70200,69500,69600,69600
69800,70900,69300,70900,70900
70600,70900,70000,70900,70900
71300,71400,69700,69900,69900
69900,70800,69600,70300,70300
70000,70500,69500,70500,70500
71300,71300,70300,70400,70400
71000,71100,70600,70800,70800
71600,72200,71500,72200,72200
72500,73000,72300,72800,72800
72300,73000,72300,72500,72500
72100,73000,72100,72700,72700
73100,73400,72700,72800,72800
72200,73000,71900,72800,72800
73000,73200,72200,72400,72400
