date,Open,High,Low,Close,weight,Volume
2023-01-02,55500,56100,55200,55500,2.7,10031448
2023-01-03,55400,56000,54500,55400,2.8,13547030
2023-01-04,55700,58000,55600,57800,2.9,20188071
2023-01-05,58200,58800,57600,58200,2.8,15682826
2023-01-06,58300,59400,57900,59000,2.7,17334989
2023-01-09,59700,60700,59600,60700,3.6,18640107
2023-01-10,60200,61100,59900,60400,2.4,14859797
2023-01-11,61000,61200,60300,60500,2.5,12310751
2023-01-12,61100,61200,59900,60500,2.6,16102561
2023-01-13,60500,61200,60400,60800,2.3,12510328
2023-01-16,61300,61600,60800,61100,2.8,10039972
2023-01-17,61200,61500,60600,61000,3.2,9831456
2023-01-18,60700,61000,59900,60400,3.7,11584041
2023-01-19,60500,61500,60400,61500,3.5,12808490
2023-01-20,62100,62300,61100,61800,3.9,9646327
2023-01-25,63500,63700,63000,63300,3.7,39217
2023-01-26,63800,63900,63300,63800,2.8,54188
2023-01-27,64400,65000,63900,64600,2.7,44282
2023-01-30,64900,64900,63100,63300,1.9,59628
2023-01-31,63500,63700,61000,61400,2.3,163847
2023-02-01,62600,62700,61000,61000,2.7,98585
2023-02-02,63200,63900,62600,63500,2.6,65992
2023-02-03,63900,64000,63000,63500,2.7,47567
2023-02-06,62800,63000,61600,61600,2.3,144104
2023-02-07,61900,62500,61600,62000,2.7,32873
2023-02-08,62800,63300,62400,63100,3.1,42558
2023-02-09,63000,63300,62300,63300,2.7,48035
2023-02-10,62600,63000,62400,62900,2.9,44786
2023-02-13,62900,63000,62300,62900,3.4,59395
2023-02-14,63600,63900,63200,63200,2.3,70606
2023-02-15,63900,63900,62000,62200,2.5,58370
2023-02-16,62500,63700,62400,63700,2.7,41448
2023-02-17,62900,63300,62400,62600,2.8,28613
2023-02-20,62900,63000,61800,62700,2.5,29846
2023-02-21,62700,62800,62000,62100,3.1,60971
2023-02-22,61500,61800,61000,61100,2.7,39178
2023-02-23,61700,62500,61500,62000,3.5,37145
2023-02-24,62300,62600,61300,61300,3.2,50792
2023-02-27,60800,60800,60200,60500,2.6,11155697
2023-02-28,60800,61400,60500,60600,2.9,13715861
2023-03-02,60900,61800,60500,60800,3.5,13095682
2023-03-03,61000,61200,60500,60500,3.6,10711405
2023-03-06,61100,61600,60800,61500,3.7,13630602
2023-03-07,61400,61400,60700,60700,2.7,11473280
2023-03-08,60100,60500,59900,60300,2.5,14161857
2023-03-09,60500,60800,59900,60100,2.9,14334499
2023-03-10,59500,59700,59100,59500,2.9,11902471
2023-03-13,59900,60200,59300,60000,2.6,12779724
2023-03-14,59400,59500,59000,59000,3.1,12147346
2023-03-15,60000,60300,59600,59800,2.7,10482149
2023-03-16,59200,60200,59100,59900,2.6,10611939
2023-03-17,60800,61300,60600,61300,2.8,14090110
2023-03-20,61100,61200,60200,60200,3.4,9618009
2023-03-21,60500,60700,60100,60300,2.8,8318514
2023-03-22,61000,61200,60500,61100,4.2,8978591
2023-03-23,60600,62300,60600,62300,3.5,15381057
2023-03-24,62700,63300,62300,63000,2.9,18278602
2023-03-27,62600,62800,62000,62100,3.8,11039331
2023-03-28,62400,62900,62100,62900,2.7,11614118
2023-03-29,62500,62700,62200,62700,2.5,11216008
2023-03-30,63700,63700,63100,63200,3.1,15684377
2023-03-31,64000,64000,63700,64000,3.4,14094479
2023-04-03,64000,64000,63000,63100,2.7,11973133
2023-04-04,63400,63800,62800,63600,3.8,11120514
2023-04-05,63700,64000,63400,63900,3.5,9176149
2023-04-06,63500,63600,62300,62300,3.2,14992747
2023-04-07,63800,65200,63800,65000,4.1,27476120
2023-04-10,64800,66300,64700,65700,2.8,18777166
2023-04-11,66200,66200,65400,65900,3.6,16323183
2023-04-12,65800,66200,65300,66000,3.6,15021313
2023-04-13,65600,66100,65400,66100,3.5,15091022
2023-04-14,66600,66600,65000,65100,3.2,16176490
2023-04-17,65000,65600,64700,65300,3.6,13486618
2023-04-18,65900,66000,64800,65600,4.1,14802060
2023-04-19,65500,65800,65300,65500,2.3,10255985
2023-04-20,65100,65300,64600,65300,2.3,9501169
2023-04-21,65800,65900,65400,65700,2.2,10538622
2023-04-24,65300,65700,64800,65200,2.6,12986581
2023-04-25,65300,65400,63400,63600,2.9,16193271
2023-04-26,63600,64300,63300,64100,2.8,12664541
2023-04-27,64100,65000,63300,64600,2.2,14779601
2023-04-28,65200,65900,65000,65500,2.7,19699481
2023-05-02,66000,66300,65100,65700,2.6,14396948
2023-05-03,65100,65600,64900,65400,2.9,8876749
2023-05-04,65600,65700,64700,65100,3.2,9791064
2023-05-08,66300,66300,65400,65900,3.5,9405365
2023-05-09,65800,65800,65100,65300,3.7,9366861
2023-05-10,65500,65500,64300,64600,3.4,13057727
2023-05-11,64700,65100,64200,64200,3.8,11648905
2023-05-12,63700,64600,63600,64100,2.8,8693913
2023-05-15,64100,64600,63900,64500,2.5,8172021
2023-05-16,65800,65900,65300,65400,3.1,12334657
2023-05-17,65900,65900,64800,65000,2,10745504
2023-05-18,66000,66200,65700,66200,2.4,14431704
2023-05-19,67800,68400,67500,68400,2.6,20349345
2023-05-22,68400,69000,68000,68500,2.4,14470308
2023-05-23,68500,68700,68100,68400,3,8561643
2023-05-24,68100,68700,68000,68500,2.7,8192896
2023-05-25,69900,70000,68700,68800,3.3,14231160
2023-05-26,69800,70400,69500,70300,3.5,19549511
2023-05-30,71300,72300,71200,72300,3.7,27476897
2023-05-31,72400,72500,71000,71400,2.7,25666087
2023-06-01,70900,71600,70600,70900,2.9,14669296
2023-06-02,71700,72200,71600,72200,2.7,12161798
2023-06-05,72700,72700,71400,71700,3.1,12686829
2023-06-07,71300,71600,70800,71000,2.8,14796613
2023-06-08,70400,70900,70000,70900,3.5,19165568
2023-06-09,71100,72300,70800,72000,2.3,15050209
2023-06-12,72100,72400,70800,71000,2.2,12064287
2023-06-13,71700,72200,71600,72000,2.5,13227285
2023-06-14,72100,72200,71100,71900,2.8,12541046
2023-06-15,72100,72300,71300,71500,2.9,13614994
2023-06-16,71800,71900,70900,71800,3,15373696
2023-06-19,71300,71700,70900,71200,3.8,11100887
2023-06-20,70700,71400,70400,71400,4.2,11557883
2023-06-21,70700,71200,70400,70500,3.6,10626603
2023-06-22,70200,71500,70100,71300,2.8,11411007
2023-06-23,72000,72200,71600,71600,2.8,12329484
2023-06-26,71700,72500,71500,72400,2.7,10541901
2023-06-27,72500,72600,72000,72600,2.3,9442997
2023-06-28,72600,72700,72000,72700,2.4,8783093
2023-06-29,73100,73400,72400,72400,2.6,12229967
